Title,ReleaseDate,ProductionCompany
Don Juan DeMarco,1995-04-07,American Zoetrope
Don Juan DeMarco,1995-04-07,New Line Cinema
Batman Forever,1995-06-09,PolyGram Pictures
Batman Forever,1995-06-09,Tim Burton Productions
Batman Forever,1995-06-09,Warner Bros.
Crimson Tide,1995-05-12,Hollywood Pictures
Crimson Tide,1995-05-12,Don Simpson/Jerry Bruckheimer Films
Crimson Tide,1995-05-12,Buena Vista Pictures Distribution
Waterworld,1995-07-28,Davis Entertainment
Waterworld,1995-07-28,Universal Pictures
Restoration,1995-12-29,Miramax Films
A Little Princess,1995-05-10,Baltimore Pictures
A Little Princess,1995-05-10,Warner Bros.
Richard III,1995-12-29,United Artists
Richard III,1995-12-29,First Look International
Richard III,1995-12-29,MGM/UA Distribution Co.
Richard III,1995-12-29,Guild Film Distribution
Shanghai Triad,1995-05-01,Sony Pictures Classics
Mi Familia (My Family),1995-05-03,American Playhouse
Mi Familia (My Family),1995-05-03,American Zoetrope
Mi Familia (My Family),1995-05-03,New Line Cinema
Roommates,1995-03-03,Hollywood Pictures
Roommates,1995-03-03,Interscope Communications
Roommates,1995-03-03,PolyGram Filmed Entertainment
Roommates,1995-03-03,Nomura Babcock & Brown
Roommates,1995-03-03,Buena Vista Pictures Distribution
Seven,1995-09-22,New Line Cinema
The English Patient,1996-11-15,Miramax Films
The English Patient,1996-11-15,Buena Vista International
Fargo,1996-03-08,Working Title Films
Fargo,1996-03-08,PolyGram Filmed Entertainment
Fargo,1996-03-08,Gramercy Pictures
Jerry Maguire,1996-12-13,TriStar Pictures
Jerry Maguire,1996-12-13,Gracie Films
Jerry Maguire,1996-12-13,Vinyl Films
Jerry Maguire,1996-12-13,Sony Pictures Releasing
Secrets & Lies,1996-05-10,Thin Man Films
Secrets & Lies,1996-05-10,Ciby 2000
Secrets & Lies,1996-05-10,Channel Four Films
Secrets & Lies,1996-05-10,FilmFour Distributors
Shine,1996-01-21,South Australian Film Corporation
Shine,1996-01-21,Film Victoria
Shine,1996-01-21,Australian Film Finance Corporation
Shine,1996-01-21,BBC Films
Shine,1996-01-21,Ronin Films
Shine,1996-01-21,Roadshow Entertainment
The People vs. Larry Flynt,1996-10-13,Columbia Pictures
The People vs. Larry Flynt,1996-10-13,Phoenix Pictures
The People vs. Larry Flynt,1996-10-13,Sony Pictures Releasing
Sling Blade,1996-11-27,The Shooting Gallery
Sling Blade,1996-11-27,Miramax Films
Marvin's Room,1996-12-18,Scott Rudin Productions
Marvin's Room,1996-12-18,Tribeca Productions
Marvin's Room,1996-12-18,Miramax Films
Breaking the Waves,1996-05-18,Zentropa
Breaking the Waves,1996-05-18,Metronome Films
Breaking the Waves,1996-05-18,Svenska Filminstitutet
Breaking the Waves,1996-05-18,Les Films du Losange
Breaking the Waves,1996-05-18,Norsk Film Distribusjon
Breaking the Waves,1996-05-18,Pandora Film
Breaking the Waves,1996-05-18,October Films
Primal Fear,1996-04-01,Rysher Entertainment
Primal Fear,1996-04-01,Paramount Pictures
Ghosts of Mississippi,1996-12-20,Columbia Pictures
Ghosts of Mississippi,1996-12-20,Castle Rock Entertainment
Ghosts of Mississippi,1996-12-20,Sony Pictures Releasing
The Crucible,1996-11-27,20th Century Fox
The Mirror Has Two Faces,1996-11-15,TriStar Pictures
The Mirror Has Two Faces,1996-11-15,Sony Pictures Releasing
The Portrait of a Lady,1996-08-28,PolyGram Filmed Entertainment
The Portrait of a Lady,1996-08-28,Gramercy Pictures
Lone Star,1996-03-14,Castle Rock Entertainment
Lone Star,1996-03-14,Columbia Pictures
Lone Star,1996-03-14,Sony Pictures Classics
Hamlet,1996-12-25,Castle Rock Entertainment
Hamlet,1996-12-25,Rank
Hamlet,1996-12-25,Columbia Pictures
Trainspotting,1996-02-23,Channel Four Films
Trainspotting,1996-02-23,PolyGram Filmed Entertainment
Kolya,1996-05-15,?esk? Televize
Kolya,1996-05-15,Miramax Films
A Chef in Love,1996-06-06,Sony Pictures Classics
Prisoner of the Mountains,1996-01-01,Orion Classics
Ridicule,1996-05-09,PolyGram Film Distribution
When We Were Kings,1996-01-01,PolyGram Filmed Entertainment
When We Were Kings,1996-01-01,Gramercy Pictures
The Line King: The Al Hirschfeld Story,1996-09-27,Castle Hill Productions
Mandela,1996-10-11,Island Pictures
Suzanne Farrell: Elusive Muse,1996-01-01,Direct Cinema Limited
Tell the Truth and Run: George Seldes and the American Press,1996-01-01,New Day Films
Breathing Lessons: The Life and Work of Mark O'Brien,1996-01-01,Pacific News Service
Cosmic Voyage,1996-01-01,IMAX Corporation
Cosmic Voyage,1996-01-01,National Air and Space Museum
An Essay on Matisse,1996-01-01,PBS
Special Effects: Anything Can Happen,1996-07-04,NOVA
Special Effects: Anything Can Happen,1996-07-04,IMAX Corporation
The Wild Bunch: An Album in Montage,1996-11-01,Warner Bros.
Dear Diary,1996-01-01,DreamWorks Television
Dear Diary,1996-01-01,American Broadcasting Company
La Salla,1996-01-01,National Film Board of Canada
Wat's Pig,1996-04-10,Aardman Animations
Wat's Pig,1996-04-10,Channel Four Films
Wat's Pig,1996-04-10,AtomFilms
Michael Collins,1996-08-28,The Geffen Film Company
Michael Collins,1996-08-28,Warner Bros.
Michael Collins,1996-08-28,Irish Film Board
Sleepers,1996-10-18,PolyGram Filmed Entertainment
Sleepers,1996-10-18,Propaganda Films
Sleepers,1996-10-18,Warner Bros.
Emma,1996-06-07,Miramax Films
Emma,1996-06-07,Buena Vista International
The First Wives Club,1996-09-20,Scott Rudin Productions
The First Wives Club,1996-09-20,Paramount Pictures
The Hunchback of Notre Dame,1996-06-19,Walt Disney Feature Animation
The Hunchback of Notre Dame,1996-06-19,Buena Vista Pictures Distribution
James and the Giant Peach,1996-04-12,Walt Disney Pictures
James and the Giant Peach,1996-04-12,Allied Filmmakers
James and the Giant Peach,1996-04-12,Skellington Productions
James and the Giant Peach,1996-04-12,Buena Vista Pictures Distribution
James and the Giant Peach,1996-04-12,Guild Film Distribution
The Preacher's Wife,1996-12-13,Touchstone Pictures
The Preacher's Wife,1996-12-13,The Samuel Goldwyn Company
The Preacher's Wife,1996-12-13,Mundy Lane Entertainment
The Preacher's Wife,1996-12-13,Buena Vista Pictures Distribution
Evita,1996-12-14,Hollywood Pictures
Evita,1996-12-14,Cinergi Pictures
Evita,1996-12-14,Patagonik Film Group
Evita,1996-12-14,RSO Films
Evita,1996-12-14,Buena Vista Pictures Distribution
One Fine Day,1996-12-20,Lynda Obst Productions
One Fine Day,1996-12-20,20th Century Fox
That Thing You Do!,1996-10-04,Clavius Base
That Thing You Do!,1996-10-04,20th Century Fox
Up Close & Personal,1996-03-01,Touchstone Pictures
Up Close & Personal,1996-03-01,Cinergi Pictures
Up Close & Personal,1996-03-01,Buena Vista Pictures Distribution
Up Close & Personal,1996-03-01,Cinergi Productions
The Ghost and the Darkness,1996-10-11,Paramount Pictures
Daylight,1996-12-06,Davis Entertainment
Daylight,1996-12-06,Universal Pictures
Eraser,1996-06-11,Warner Bros.
Independence Day,1996-06-25,20th Century Fox
Independence Day,1996-06-25,Centropolis Entertainment
The Rock,1996-06-07,Hollywood Pictures
The Rock,1996-06-07,Don Simpson/Jerry Bruckheimer Films
The Rock,1996-06-07,Buena Vista Pictures Distribution
Twister,1996-05-10,Warner Bros.
Twister,1996-05-10,Universal Pictures
Twister,1996-05-10,Amblin Entertainment
Twister,1996-05-10,United International Pictures
The Birdcage,1996-03-08,United Artists
The Birdcage,1996-03-08,MGM/UA Distribution Co.
The Birdcage,1996-03-08,United International Pictures
William Shakespeare's Romeo + Juliet,1996-10-27,Bazmark Productions
William Shakespeare's Romeo + Juliet,1996-10-27,20th Century Fox
Fly Away Home,1996-09-13,Columbia Pictures
Fly Away Home,1996-09-13,Sony Pictures Releasing
The Nutty Professor,1996-06-28,Imagine Entertainment
The Nutty Professor,1996-06-28,Universal Pictures
Star Trek: First Contact,1996-11-22,Paramount Pictures
Angels and Insects,1995-11-05,The Samuel Goldwyn Company
Angels and Insects,1995-11-05,Film Four Distributors Limited
Dragonheart,1996-05-31,Universal Pictures
Titanic,1997-11-01,Paramount Pictures
Titanic,1997-11-01,20th Century Fox
Titanic,1997-11-01,Lightstorm Entertainment
As Good as It Gets,1997-12-06,TriStar Pictures
As Good as It Gets,1997-12-06,Gracie Films
As Good as It Gets,1997-12-06,Sony Pictures Releasing
The Full Monty,1997-08-13,Channel Four Films
The Full Monty,1997-08-13,Fox Searchlight Pictures
Good Will Hunting,1997-12-02,Miramax Films
L.A. Confidential,1997-05-14,Regency Enterprises
L.A. Confidential,1997-05-14,Warner Bros.
The Sweet Hereafter,1997-05-14,Alliance Communications
The Apostle,1997-09-06,Butcher's Run Films
The Apostle,1997-09-06,October Films
Ulee's Gold,1997-06-13,Motion Picture Corporation of America
Ulee's Gold,1997-06-13,Orion Pictures
Wag the Dog,1997-12-17,TriBeCa Productions
Wag the Dog,1997-12-17,New Line Cinema
The Wings of the Dove,1997-11-07,Miramax Films
Afterglow,1997-05-11,Sony Pictures Classics
Mrs Brown,1997-07-18,BBC Films
Mrs Brown,1997-07-18,Ecosse Films
Mrs Brown,1997-07-18,Miramax International
Mrs Brown,1997-07-18,Buena Vista International
Jackie Brown,1997-12-08,A Band Apart
Jackie Brown,1997-12-08,Miramax Films
Amistad,1997-12-10,HBO Pictures
Amistad,1997-12-10,DreamWorks Pictures
Boogie Nights,1997-09-11,New Line Cinema
In & Out,1997-09-19,Spelling Films
In & Out,1997-09-19,Paramount Pictures
Deconstructing Harry,1997-08-27,Fine Line Features
Donnie Brasco,1997-02-24,TriStar Pictures
Donnie Brasco,1997-02-24,Mandalay Entertainment
Donnie Brasco,1997-02-24,Baltimore Pictures
Donnie Brasco,1997-02-24,Sony Pictures Releasing
Donnie Brasco,1997-02-24,Summit Entertainment
Character,1997-04-17,First Floor Features
Character,1997-04-17,Buena Vista International
Jenseits der Stille,1996-12-19,Buena Vista International
Four Days in September,1997-04-19,Miramax
Secrets of the Heart,1997-03-14,Aiete Films
Secrets of the Heart,1997-03-14,Ariane Films
The Long Way Home,1997-09-19,Moriah Films
The Long Way Home,1997-09-19,Seventh Art Releasing
4 Little Girls,1997-07-09,40 Acres & A Mule Filmworks
4 Little Girls,1997-07-09,HBO
Ayn Rand: A Sense of Life,1996-11-02,Strand Releasing
Colors Straight Up,1997-01-01,Filmakers Library
A Story of Healing,1997-01-01,Interplast
Alaska: Spirit of the Wild,1997-01-01,Graphic Films
Alaska: Spirit of the Wild,1997-01-01,Houston Museum of Natural Science
Amazon,1997-01-01,MacGillivray Freeman Films
Family Video Diaries: Daughter of the Bride,1997-11-05,HBO
Family Video Diaries: Daughter of the Bride,1997-11-05,Direct Cinema
Visas and Virtue,1997-01-01,Cedar Grove Productions
Geri's Game,1997-11-24,Pixar Animation Studios
Geri's Game,1997-11-24,Buena Vista Pictures Distribution
Famous Fred,1996-12-24,Channel 4
The Old Lady and the Pigeons,1997-01-01,Les Armateurs
The Old Lady and the Pigeons,1997-01-01,Django Films
The Old Lady and the Pigeons,1997-01-01,Folimage
The Old Lady and the Pigeons,1997-01-01,BBC
The Old Lady and the Pigeons,1997-01-01,T?l?film Canada
Redux Riding Hood,1997-08-05,Walt Disney Television Animation
Redux Riding Hood,1997-08-05,Buena Vista Pictures
Kundun,1997-12-25,Touchstone Pictures
Kundun,1997-12-25,Cappa Productions
Kundun,1997-12-25,Buena Vista Pictures Distribution
Kundun,1997-12-25,Canal+ Image International
Anastasia,1997-11-14,Fox Family Films
Anastasia,1997-11-14,Fox Animation Studios
Anastasia,1997-11-14,20th Century Fox
Men in Black,1997-07-02,Columbia Pictures
Men in Black,1997-07-02,Amblin Entertainment
Men in Black,1997-07-02,Sony Pictures Releasing
My Best Friend's Wedding,1997-06-20,TriStar Pictures
My Best Friend's Wedding,1997-06-20,Zucker Brothers Productions
My Best Friend's Wedding,1997-06-20,Sony Pictures Releasing
Hercules,1997-06-13,Walt Disney Feature Animation
Hercules,1997-06-13,Buena Vista Pictures Distribution
Con Air,1997-06-06,Touchstone Pictures
Con Air,1997-06-06,Jerry Bruckheimer Films
Con Air,1997-06-06,Buena Vista Pictures Distribution
Face/Off,1997-06-27,Touchstone Pictures
Face/Off,1997-06-27,Permut Presentations
Face/Off,1997-06-27,Paramount Pictures
Face/Off,1997-06-27,Buena Vista International
The Fifth Element,1997-05-07,Gaumont
The Fifth Element,1997-05-07,Gaumont Buena Vista International
Air Force One,1997-07-21,Columbia Pictures
Air Force One,1997-07-21,Beacon Pictures
Air Force One,1997-07-21,Sony Pictures Releasing
Air Force One,1997-07-21,Buena Vista International
Contact,1997-07-11,South Side Amusement Company
Contact,1997-07-11,Warner Bros.
Gattaca,1997-10-24,Columbia Pictures
Gattaca,1997-10-24,Jersey Films
Gattaca,1997-10-24,Sony Pictures Releasing
Oscar and Lucinda,1997-12-31,AFFC
Oscar and Lucinda,1997-12-31,Fox Searchlight Pictures
Oscar and Lucinda,1997-12-31,Fox
Oscar and Lucinda,1997-12-31,Universal Pictures
The Lost World: Jurassic Park,1997-05-19,Universal Pictures
The Lost World: Jurassic Park,1997-05-19,Amblin Entertainment
Starship Troopers,1997-11-04,TriStar Pictures
Starship Troopers,1997-11-04,Touchstone Pictures
Shakespeare in Love,1998-12-11,The Bedford Falls Company
Shakespeare in Love,1998-12-11,Miramax Films
Shakespeare in Love,1998-12-11,Universal Pictures
Elizabeth,1998-09-08,PolyGram Filmed Entertainment
Elizabeth,1998-09-08,Working Title Films
Elizabeth,1998-09-08,Channel Four Films
Life Is Beautiful,1997-12-20,Cecchi Gori Group
Life Is Beautiful,1997-12-20,Miramax Films
Saving Private Ryan,1998-07-24,Amblin Entertainment
Saving Private Ryan,1998-07-24,Mutual Film Company
Saving Private Ryan,1998-07-24,DreamWorks Pictures
Saving Private Ryan,1998-07-24,Paramount Pictures
The Thin Red Line,1998-12-25,Fox 2000 Pictures
The Thin Red Line,1998-12-25,Phoenix Pictures
The Thin Red Line,1998-12-25,20th Century Fox
The Truman Show,1998-06-01,Scott Rudin Productions
The Truman Show,1998-06-01,Paramount Pictures
Gods and Monsters,1998-01-21,Showtime
Gods and Monsters,1998-01-21,BBC Films
Gods and Monsters,1998-01-21,Regent Entertainment
Gods and Monsters,1998-01-21,Lions Gate Films
Affliction,1997-08-28,Largo Entertainment
Affliction,1997-08-28,Lions Gate Films
Affliction,1997-08-28,Summit Entertainment
American History X,1998-10-30,New Line Cinema
American History X,1998-10-30,Turman
Central Station,1998-01-16,Mars Distribution
One True Thing,1998-09-18,Universal Pictures
Hilary and Jackie,1998-09-05,FilmFour Distributors
A Civil Action,1998-12-25,Touchstone Pictures
A Civil Action,1998-12-25,Paramount Pictures
A Civil Action,1998-12-25,"Wildwood Enterprises, Inc"
A Civil Action,1998-12-25,Buena Vista Pictures Distribution
A Civil Action,1998-12-25,United International Pictures
A Simple Plan,1998-09-11,Mutual Film Company
A Simple Plan,1998-09-11,Savoy Pictures
A Simple Plan,1998-09-11,British Broadcasting Corporation
A Simple Plan,1998-09-11,Tele-M?nchen
A Simple Plan,1998-09-11,UGC-PH
A Simple Plan,1998-09-11,Toho-Towa
A Simple Plan,1998-09-11,Marubeni
A Simple Plan,1998-09-11,Newmarket Capital Group
A Simple Plan,1998-09-11,Paramount Pictures
A Simple Plan,1998-09-11,Universal Pictures
A Simple Plan,1998-09-11,UGC Fox Distribution
Primary Colors,1998-03-20,Mutual Film Company
Primary Colors,1998-03-20,Universal Pictures
Little Voice,1998-12-04,Miramax Films
Little Voice,1998-12-04,Buena Vista International
Bulworth,1998-05-15,20th Century Fox
Out of Sight,1998-06-26,Jersey Films
Out of Sight,1998-06-26,Universal Pictures
Children of Heaven,1997-02-01,Institute for the Intellectual Development of Children and Young Adults
Children of Heaven,1997-02-01,Miramax Films
El abuelo,1998-10-30,Columbia TriStar Films de Espa?a
Tango,1998-08-06,Argentina Sono Film
Tango,1998-08-06,Warner Bros.
The Last Days,1998-10-23,Survivors of the Shoah Visual History Foundation
The Last Days,1998-10-23,October Films
Dancemaker,1998-01-01,Artistic License Films
"The Farm: Angola, USA",1998-01-01,Seventh Art Releasing
Lenny Bruce: Swear to Tell the Truth,1998-10-21,HBO
Regret to Inform,1998-01-01,Artistic License Films
Sunrise Over Tiananmen Square,1998-10-16,National Film Board of Canada
Bunny,1998-11-02,Blue Sky Studios
Pleasantville,1998-10-23,New Line Cinema
A Bug's Life,1998-11-14,Pixar Animation Studios
A Bug's Life,1998-11-14,Buena Vista Pictures Distribution
Mulan,1998-06-05,Walt Disney Feature Animation
Mulan,1998-06-05,Buena Vista Pictures Distribution
Patch Adams,1998-12-25,Blue Wolf
Patch Adams,1998-12-25,Bungalow 78 Productions
Patch Adams,1998-12-25,Farrell/Minoff
Patch Adams,1998-12-25,Universal Pictures
The Prince of Egypt,1998-12-16,DreamWorks Pictures
The Prince of Egypt,1998-12-16,DreamWorks Animation
Armageddon,1998-07-01,Touchstone Pictures
Armageddon,1998-07-01,Jerry Bruckheimer Films
Armageddon,1998-07-01,Valhalla Motion Pictures
Armageddon,1998-07-01,Buena Vista Pictures Distribution
Babe: Pig in the City,1998-11-25,Kennedy Miller Productions
Babe: Pig in the City,1998-11-25,Universal Pictures
The Horse Whisperer,1998-05-15,Touchstone Pictures
The Horse Whisperer,1998-05-15,Buena Vista Pictures Distribution
Quest for Camelot,1998-05-15,Warner Bros.
The Mask of Zorro,1998-07-17,Amblin Entertainment
The Mask of Zorro,1998-07-17,TriStar Pictures
What Dreams May Come,1998-10-02,Interscope Communications
What Dreams May Come,1998-10-02,PolyGram Filmed Entertainment
Beloved,1998-10-08,Touchstone Pictures
Beloved,1998-10-08,Harpo Films
Beloved,1998-10-08,Buena Vista Pictures Distribution
Velvet Goldmine,1998-05-22,Killer Films
Velvet Goldmine,1998-05-22,Newmarket Capital Group
Velvet Goldmine,1998-05-22,Film Four
Velvet Goldmine,1998-05-22,Goldwyn Films
Velvet Goldmine,1998-05-22,FilmFour Distribution
Velvet Goldmine,1998-05-22,Miramax Films
Mighty Joe Young,1998-12-25,Walt Disney Pictures
Mighty Joe Young,1998-12-25,RKO Pictures
Mighty Joe Young,1998-12-25,Buena Vista Pictures Distribution
American Beauty,1999-09-08,DreamWorks Pictures
The Cider House Rules,1999-09-07,Miramax Films
The Cider House Rules,1999-09-07,FilmColony
The Green Mile,1999-12-10,Castle Rock Entertainment
The Green Mile,1999-12-10,Warner Bros.
The Green Mile,1999-12-10,United International Pictures
The Insider,1999-11-05,Touchstone Pictures
The Insider,1999-11-05,Spyglass Entertainment
The Insider,1999-11-05,Buena Vista Pictures Distribution
The Sixth Sense,1999-08-02,Hollywood Pictures
The Sixth Sense,1999-08-02,Spyglass Entertainment
The Sixth Sense,1999-08-02,The Kennedy/Marshall Company
The Sixth Sense,1999-08-02,Barry Mendel Productions
The Sixth Sense,1999-08-02,Buena Vista Pictures Distribution
Being John Malkovich,1999-09-02,Gramercy Pictures
Being John Malkovich,1999-09-02,Propaganda Films
Being John Malkovich,1999-09-02,USA Films
Being John Malkovich,1999-09-02,Universal Pictures International
The Straight Story,1999-05-21,Canal+
The Straight Story,1999-05-21,FilmFour
The Straight Story,1999-05-21,Ciby 2000
The Straight Story,1999-05-21,Le Studio Canal+
The Straight Story,1999-05-21,Buena Vista Pictures Distribution
The Straight Story,1999-05-21,FilmFour Distributors
The Straight Story,1999-05-21,BAC Films
Sweet and Lowdown,1999-09-03,Sony Pictures Classics
The Hurricane,1999-09-17,Universal Pictures
The Hurricane,1999-09-17,Beacon Pictures
Boys Don't Cry,1999-10-08,Independent Film Channel Productions
Boys Don't Cry,1999-10-08,Killer Films
Boys Don't Cry,1999-10-08,Fox Searchlight Pictures
Tumbleweeds,1999-01-24,Fine Line Features
The End of the Affair,1999-12-02,Columbia Pictures
The End of the Affair,1999-12-02,Sony Pictures Releasing
Music of the Heart,1999-09-06,Miramax Films
Magnolia,1999-12-17,New Line Cinema
The Talented Mr. Ripley,1999-12-12,Mirage Enterprises
The Talented Mr. Ripley,1999-12-12,Paramount Pictures
"Girl, Interrupted",1999-12-21,Columbia Pictures
"Girl, Interrupted",1999-12-21,Red Wagon Entertainment
"Girl, Interrupted",1999-12-21,Sony Pictures Releasing
Topsy-Turvy,1999-09-03,Thin Man Films
Topsy-Turvy,1999-09-03,Path? Distribution
Election,1999-04-23,MTV Productions
Election,1999-04-23,Paramount Pictures
All About My Mother,1999-04-16,El Deseo
All About My Mother,1999-04-16,France 2 Cin?ma
All About My Mother,1999-04-16,Warner Sogefilms
All About My Mother,1999-04-16,Path? Distribution
East/West,1999-08-04,UGC YM
East/West,1999-08-04,France 3 Cin?ma
East/West,1999-08-04,UGC Fox Distribution
Himalaya,1999-09-13,Kino International
Solomon & Gaenor,1999-04-30,FilmFour Distributors
Under the Sun,1998-12-25,AB Svensk Filmindustri
One Day in September,1999-10-22,BBC Films
One Day in September,1999-10-22,Passion Pictures
One Day in September,1999-10-22,Redbus Film Distribution
Buena Vista Social Club,1999-02-17,Arte
Buena Vista Social Club,1999-02-17,Instituto Cubano del Arte e Industria Cinematogr?ficos
Buena Vista Social Club,1999-02-17,Road Movies Filmproduktion
Buena Vista Social Club,1999-02-17,Wim Wenders Stiftung
Buena Vista Social Club,1999-02-17,Senator Film
Buena Vista Social Club,1999-02-17,Artisan Entertainment
Buena Vista Social Club,1999-02-17,FilmFour Distributors
Buena Vista Social Club,1999-02-17,Mars Distribution
Buena Vista Social Club,1999-02-17,Summit Entertainment
Genghis Blues,1999-01-01,Roxie Releasing
On the Ropes,1999-01-01,Winstar Cinema
Speaking in Strings,1999-10-29,Seventh Art Releasing
King Gimp,1999-01-01,MedSchool Maryland
King Gimp,1999-01-01,HBO
King Gimp,1999-01-01,University of Maryland
Eyewitness,1999-01-01,Seventh Art Releasing
The Wildest Show in the South: The Angola Prison Rodeo,1999-01-01,Seventh Art Releasing
My Mother Dreams the Satan's Disciples in New York,1998-10-01,AFI Conservatory
My Mother Dreams the Satan's Disciples in New York,1998-10-01,AtomFilms
Humdrum,1998-01-01,Aardman Animations
Humdrum,1998-01-01,Channel 4 Television Corporation
Humdrum,1998-01-01,Canal+
When the Day Breaks,1999-09-05,National Film Board of Canada
The Red Violin,1998-09-02,New Line International
The Red Violin,1998-09-02,Channel 4 Films
The Red Violin,1998-09-02,Rhombus Media
The Red Violin,1998-09-02,Telefilm Canada
The Red Violin,1998-09-02,CITY-TV
The Red Violin,1998-09-02,Odeon Films
Angela's Ashes,1999-12-25,Paramount Pictures
Angela's Ashes,1999-12-25,Universal Pictures International
Angela's Ashes,1999-12-25,United International Pictures
Tarzan,1999-06-12,Walt Disney Feature Animation
Tarzan,1999-06-12,Buena Vista Pictures Distribution
"South Park: Bigger, Longer & Uncut",1999-06-23,Comedy Central Films
"South Park: Bigger, Longer & Uncut",1999-06-23,Scott Rudin Productions
"South Park: Bigger, Longer & Uncut",1999-06-23,Braniff Productions
"South Park: Bigger, Longer & Uncut",1999-06-23,Paramount Pictures
"South Park: Bigger, Longer & Uncut",1999-06-23,Warner Bros.
Toy Story 2,1999-11-13,Pixar Animation Studios
Toy Story 2,1999-11-13,Buena Vista Pictures Distribution
The Matrix,1999-03-24,Warner Bros. Pictures
The Matrix,1999-03-24,Village Roadshow Pictures
The Matrix,1999-03-24,Silver Pictures
The Matrix,1999-03-24,Roadshow Entertainment
Fight Club,1999-09-10,Fox 2000 Pictures
Fight Club,1999-09-10,Regency Enterprises
Fight Club,1999-09-10,20th Century Fox
Star Wars: Episode I ?The Phantom Menace,1999-05-16,Lucasfilm Ltd.
Star Wars: Episode I ?The Phantom Menace,1999-05-16,20th Century Fox
The Mummy,1999-05-07,Universal Pictures
Sleepy Hollow,1999-11-17,Paramount Pictures
Sleepy Hollow,1999-11-17,Mandalay Pictures
Sleepy Hollow,1999-11-17,Scott Rudin Productions
Sleepy Hollow,1999-11-17,American Zoetrope
Sleepy Hollow,1999-11-17,Tim Burton Productions
Sleepy Hollow,1999-11-17,Constantin Film
Sleepy Hollow,1999-11-17,Summit Entertainment
Anna and the King,1999-12-17,Fox 2000 Pictures
Anna and the King,1999-12-17,Lawrence Bender Productions
Anna and the King,1999-12-17,20th Century Fox
Snow Falling on Cedars,1999-09-12,Kennedy/Marshall
Snow Falling on Cedars,1999-09-12,Universal Pictures
Austin Powers: The Spy Who Shagged Me,1999-06-11,New Line Cinema
Bicentennial Man,1999-12-17,Touchstone Pictures
Bicentennial Man,1999-12-17,Columbia Pictures
Bicentennial Man,1999-12-17,1492 Pictures
Bicentennial Man,1999-12-17,Buena Vista Pictures Distribution
Bicentennial Man,1999-12-17,Columbia TriStar Film Distributors International
Life,1999-04-16,Imagine Entertainment
Life,1999-04-16,Universal Pictures
Titus,1999-12-24,Fox Searchlight Pictures
Titus,1999-12-24,Buena Vista International
Stuart Little,1999-12-05,Columbia Pictures
Stuart Little,1999-12-05,Sony Pictures Releasing
Gladiator,2000-05-01,DreamWorks Pictures
Gladiator,2000-05-01,Universal Pictures
Gladiator,2000-05-01,Scott Free Productions
Gladiator,2000-05-01,Red Wagon Entertainment
Gladiator,2000-05-01,United International Pictures
Chocolat,2000-12-22,Miramax Films
Chocolat,2000-12-22,Buena Vista International
"Crouching Tiger, Hidden Dragon",2000-05-18,Columbia Pictures Film Production Asia
"Crouching Tiger, Hidden Dragon",2000-05-18,Good Machine International
"Crouching Tiger, Hidden Dragon",2000-05-18,Edko Films
"Crouching Tiger, Hidden Dragon",2000-05-18,China Film Co-production Corp.
"Crouching Tiger, Hidden Dragon",2000-05-18,Sony Pictures Classics
"Crouching Tiger, Hidden Dragon",2000-05-18,Columbia TriStar Film Distributors International
Erin Brockovich,2000-03-14,Universal Pictures
Erin Brockovich,2000-03-14,Columbia Pictures
Erin Brockovich,2000-03-14,Jersey Films
Erin Brockovich,2000-03-14,Columbia TriStar Film Distributors International
Traffic,2000-12-27,Bedford Falls Productions
Traffic,2000-12-27,Initial Entertainment Group
Traffic,2000-12-27,USA Films
Billy Elliot,2000-09-29,Universal Pictures
Billy Elliot,2000-09-29,StudioCanal
Billy Elliot,2000-09-29,BBC Films
Billy Elliot,2000-09-29,Working Title Films
Billy Elliot,2000-09-29,Tiger Aspect Pictures
Billy Elliot,2000-09-29,United International Pictures
Before Night Falls,2000-09-03,Fine Line Features
Cast Away,2000-12-22,20th Century Fox
Cast Away,2000-12-22,DreamWorks Pictures
Cast Away,2000-12-22,ImageMovers
Cast Away,2000-12-22,Playtone
Pollock,2000-09-06,Sony Pictures Classics
Quills,2000-09-02,Fox Searchlight Pictures
The Contender,2000-10-13,DreamWorks Pictures
Requiem for a Dream,2000-05-14,Thousand Words
Requiem for a Dream,2000-05-14,Protozoa Pictures
Requiem for a Dream,2000-05-14,Artisan Entertainment
Requiem for a Dream,2000-05-14,Summit Entertainment
You Can Count on Me,2000-01-21,The Shooting Gallery
You Can Count on Me,2000-01-21,Cappa Productions
You Can Count on Me,2000-01-21,Paramount Classics
Shadow of the Vampire,2000-05-15,BBC Films
Shadow of the Vampire,2000-05-15,Saturn Films
Shadow of the Vampire,2000-05-15,Lions Gate Films
Almost Famous,2000-09-08,DreamWorks Pictures
Almost Famous,2000-09-08,Columbia Pictures
Almost Famous,2000-09-08,Vinyl Films
Almost Famous,2000-09-08,Columbia TriStar Film Distributors International
"O Brother, Where Art Thou?",2000-05-13,Touchstone Pictures
"O Brother, Where Art Thou?",2000-05-13,Universal Pictures
"O Brother, Where Art Thou?",2000-05-13,StudioCanal
"O Brother, Where Art Thou?",2000-05-13,Working Title Films
"O Brother, Where Art Thou?",2000-05-13,Buena Vista Pictures Distribution
"O Brother, Where Art Thou?",2000-05-13,Momentum Pictures
