Title,ReleaseDate,ProductionCompany
Pennies from Heaven,1936-11-25,Columbia Pictures
"Sing, Baby, Sing",1936-08-21,Twentieth Century Fox
Banjo on My Knee,1936-12-11,Twentieth Century Fox Film Corporation
General Spanky,1936-12-11,Hal Roach Studios
General Spanky,1936-12-11,Metro-Goldwyn-Mayer
The Texas Rangers,1936-08-28,Paramount Pictures
That Girl from Paris,1936-12-31,RKO Radio Pictures
Lloyd's of London,1936-11-25,20th Century Fox
The Magnificent Brute,1936-10-11,Universal Pictures
Cain and Mabel,1936-09-26,Cosmopolitan Pictures
Cain and Mabel,1936-09-26,Warner Brothers
Dancing Pirate,1936-05-22,RKO Pictures
Gold Diggers of 1937,1936-12-26,Warner Bros.
One in a Million,1936-12-31,Twentieth Century-Fox Film Corporation
The Last of the Mohicans,1936-09-04,Edward Small Productions
The Last of the Mohicans,1936-09-04,United Artists
The Life of Emile Zola,1937-08-11,Warner Bros. Pictures
The Awful Truth,1937-10-21,Columbia Pictures
Captains Courageous,1937-05-11,Metro-Goldwyn-Mayer
Captains Courageous,1937-05-11,Loew's Inc.
Dead End,1937-08-27,Samuel Goldwyn Productions
Dead End,1937-08-27,United Artists
The Good Earth,1937-01-29,Metro-Goldwyn-Mayer
The Good Earth,1937-01-29,"Loew's, Inc."
In Old Chicago,1938-01-06,20th Century Fox
Lost Horizon,1937-03-02,Columbia Pictures
One Hundred Men and a Girl,1937-09-05,Universal Pictures
Stage Door,1937-10-08,RKO Radio Pictures
A Star Is Born,1937-04-20,Selznick International Pictures
A Star Is Born,1937-04-20,United Artists
Conquest,1937-10-22,Metro-Goldwyn-Mayer
Conquest,1937-10-22,"Loew's, Inc."
Night Must Fall,1937-04-30,Metro-Goldwyn-Mayer
Night Must Fall,1937-04-30,Loew's Inc.
Camille,1936-12-12,Metro-Goldwyn-Mayer
Camille,1936-12-12,Loew's Inc.
Stella Dallas,1937-08-06,Samuel Goldwyn Productions
Stella Dallas,1937-08-06,United Artists
The Hurricane,1937-11-09,Samuel Goldwyn Productions
The Hurricane,1937-11-09,United Artists
Topper,1937-07-16,Hal Roach Studios
Topper,1937-07-16,Metro-Goldwyn-Mayer
Black Legion,1937-01-27,Warner Bros.
The Private Life of the Gannets,1934-01-01,London Film Productions
A Night at the Movies,1937-11-06,Metro-Goldwyn-Mayer
Romance of Radium,1937-10-23,Metro-Goldwyn-Mayer
Torture Money,1937-01-02,MGM
Deep South,1937-01-01,RKO
Should Wives Work?,1937-09-10,RKO
Penny Wisdom,1937-04-10,Metro-Goldwyn-Mayer
The Man Without a Country,1937-11-27,Warner Bros.
The Old Mill,1937-11-05,Walt Disney Productions
The Old Mill,1937-11-05,RKO Radio Pictures
Educated Fish,1937-10-29,Fleischer Studios
Educated Fish,1937-10-29,Paramount Pictures
Make a Wish,1937-08-27,RKO Radio Pictures
Maytime,1937-03-26,Metro-Goldwyn-Mayer
Maytime,1937-03-26,Loew's Inc.
Portia on Trial,1937-11-08,Republic Pictures
The Prisoner of Zenda,1937-09-02,Selznick International Pictures
The Prisoner of Zenda,1937-09-02,United Artists
Quality Street,1937-03-26,RKO Radio Pictures
Snow White and the Seven Dwarfs,1937-12-21,Walt Disney Productions
Snow White and the Seven Dwarfs,1937-12-21,RKO Radio Pictures
Something to Sing About,1937-09-30,Grand National Pictures
Souls at Sea,1937-08-09,Paramount Pictures
Way Out West,1937-04-16,Hal Roach Studios
Way Out West,1937-04-16,Metro-Goldwyn-Mayer
Waikiki Wedding,1937-03-23,Paramount Pictures
Mr. Dodd Takes the Air,1937-08-21,Warner Bros.
Vogues of 1938,1937-08-12,United Artists
Shall We Dance,1937-05-07,RKO Radio Pictures
Artists and Models,1937-08-04,Paramount Pictures
The Girl Said No,1937-10-15,Grand National Pictures
Hitting a New High,1937-12-24,RKO Radio Pictures
Wells Fargo,1937-12-31,Paramount Pictures
A Damsel in Distress,1937-11-19,RKO Radio Pictures
Every Day's a Holiday,1937-12-18,Paramount Pictures
Manhattan Merry-Go-Round,1937-11-26,Republic Pictures
Wee Willie Winkie,1937-06-25,20th Century-Fox
You're a Sweetheart,1937-12-26,Universal Pictures
Wings over Honolulu,1937-05-16,Universal Pictures
Ali Baba Goes to Town,1937-10-29,20th Century Fox
A Day at the Races,1937-06-11,Metro-Goldwyn-Mayer
"Ready, Willing, and Able",1937-03-06,Warner Bros.
Thin Ice,1937-09-03,Twentieth Century-Fox
Varsity Show,1937-10-04,Warner Bros.
You Can't Take It with You,1938-08-23,Columbia Pictures
The Adventures of Robin Hood,1938-05-14,Warner Bros. Pictures
Alexander's Ragtime Band,1938-08-05,20th Century Fox
Boys Town,1938-09-09,Metro-Goldwyn-Mayer
Boys Town,1938-09-09,Loew's Inc.
The Citadel,1938-11-03,Metro-Goldwyn-Mayer British
The Citadel,1938-11-03,Metro-Goldwyn-Mayer
Four Daughters,1938-08-09,Warner Bros.
La Grande Illusion,1937-06-08,R?alisation d'Art Cin?matographique
Jezebel,1938-03-10,Warner Bros.
Pygmalion,1938-10-06,General Film Distributors
Test Pilot,1938-04-15,Metro-Goldwyn-Mayer
Test Pilot,1938-04-15,Loew's Inc.
Angels with Dirty Faces,1938-11-26,Warner Bros.
Algiers,1938-08-05,Walter Wanger Productions
Algiers,1938-08-05,United Artists
White Banners,1938-06-22,Warner Bros.
Marie Antoinette,1938-07-08,Metro-Goldwyn-Mayer
Marie Antoinette,1938-07-08,"Loew's, Inc."
Three Comrades,1938-06-02,Metro-Goldwyn-Mayer
Three Comrades,1938-06-02,Loew's Inc.
Kentucky,1938-12-30,20th Century Fox
If I Were King,1938-11-11,Paramount Pictures
Of Human Hearts,1938-02-11,Metro-Goldwyn-Mayer
Merrily We Live,1938-02-08,Hal Roach Studios
Merrily We Live,1938-02-08,Metro-Goldwyn-Mayer
The Great Waltz,1938-11-04,Metro-Goldwyn-Mayer
Blockade,1938-06-16,Walter Wanger Productions
Blockade,1938-06-16,United Artists
Mad About Music,1938-02-01,Universal Pictures
That Mothers Might Live,1938-04-30,MGM
The Great Heart,1938-12-31,MGM
Timber Toppers,1938-01-01,20th Century Fox
Declaration of Independence,1938-11-26,Warner Bros.
Swingtime in the Movies,1938-12-24,Warner Bros.
They're Always Caught,1938-07-03,Metro-Goldwyn-Mayer
Ferdinand the Bull,1938-11-25,Walt Disney Productions
Ferdinand the Bull,1938-11-25,RKO Radio Pictures
Brave Little Tailor,1938-09-23,Walt Disney Productions
Brave Little Tailor,1938-09-23,RKO Radio Pictures
Good Scouts,1938-07-08,Walt Disney Productions
Good Scouts,1938-07-08,RKO Radio Pictures
Mother Goose Goes Hollywood,1938-12-23,Walt Disney Productions
Mother Goose Goes Hollywood,1938-12-23,RKO Radio Pictures
Army Girl,1938-08-11,Republic Pictures
Block-Heads,1938-08-19,Hal Roach Studios
Block-Heads,1938-08-19,Metro-Goldwyn-Mayer
Breaking the Ice,1938-08-26,RKO Radio Pictures
The Cowboy and the Lady,1938-11-17,Samuel Goldwyn Productions
The Cowboy and the Lady,1938-11-17,United Artists
Pacific Liner,1939-01-06,RKO Radio Pictures
Suez,1938-10-28,20th Century Fox
The Young in Heart,1938-11-03,Selznick International Pictures
The Young in Heart,1938-11-03,United Artists
Carefree,1938-09-02,RKO Radio Pictures
Girls' School,1938-09-30,Columbia Pictures
The Goldwyn Follies,1938-02-04,Samuel Goldwyn Productions
The Goldwyn Follies,1938-02-04,United Artists
Storm Over Bengal,1938-11-14,Republic Pictures
Sweethearts,1938-12-22,Metro-Goldwyn-Mayer
Sweethearts,1938-12-22,"Loew's, Inc."
