FName,MName,LName,Title,ReleaseDate,Role
Darryl,F.,Zanuck,A Yank in the R.A.F.,1941-09-25,Producer
Tyrone,,Power,A Yank in the R.A.F.,1941-09-25,Actor
Betty,,Grable,A Yank in the R.A.F.,1941-09-25,Actor
John,,Sutton,A Yank in the R.A.F.,1941-09-25,Actor
Ronald,,Neame,A Yank in the R.A.F.,1941-09-25,Cinematographer
Leon,,Shamroy,A Yank in the R.A.F.,1941-09-25,Cinematographer
Alfred,,Newman,A Yank in the R.A.F.,1941-09-25,Composer
William,,Wyler,Mrs. Miniver,1942-06-04,Director
Arthur,,Wimperis,Mrs. Miniver,1942-06-04,Screenwriter
George,,Froeschel,Mrs. Miniver,1942-06-04,Screenwriter
James,,Hilton,Mrs. Miniver,1942-06-04,Screenwriter
Claudine,,West,Mrs. Miniver,1942-06-04,Screenwriter
Sidney,,Franklin,Mrs. Miniver,1942-06-04,Producer
Greer,,Garson,Mrs. Miniver,1942-06-04,Actor
Walter,,Pidgeon,Mrs. Miniver,1942-06-04,Actor
Teresa,,Wright,Mrs. Miniver,1942-06-04,Actor
May,,Whitty,Mrs. Miniver,1942-06-04,Actor
Reginald,,Owen,Mrs. Miniver,1942-06-04,Actor
Henry,,Travers,Mrs. Miniver,1942-06-04,Actor
Richard,,Ney,Mrs. Miniver,1942-06-04,Actor
Henry,,Wilcoxon,Mrs. Miniver,1942-06-04,Actor
Joseph,,Ruttenberg,Mrs. Miniver,1942-06-04,Cinematographer
Herbert,,Stothart,Mrs. Miniver,1942-06-04,Composer
Daniele,,Amfitheatrof,Mrs. Miniver,1942-06-04,Composer
Michael,,Powell,49th Parallel,1941-10-08,Director
Emeric,,Pressburger,49th Parallel,1941-10-08,Writter
Rodney,,Ackland,49th Parallel,1941-10-08,Writter
John,,Sutro,49th Parallel,1941-10-08,Producer
Leslie,,Howard,49th Parallel,1941-10-08,Actor
Laurence,,Olivier,49th Parallel,1941-10-08,Actor
Anton,,Walbrook,49th Parallel,1941-10-08,Actor
Raymond,,Massey,49th Parallel,1941-10-08,Actor
Glynis,,Johns,49th Parallel,1941-10-08,Actor
Eric,,Portman,49th Parallel,1941-10-08,Actor
Freddie,,Young,49th Parallel,1941-10-08,Cinematographer
Ralph,Vaughan,Williams,49th Parallel,1941-10-08,Composer
Muir,,Mathieson,49th Parallel,1941-10-08,Composer
London,Symphony,Orchestra,49th Parallel,1941-10-08,Composer
Sam,,Wood,Kings Row,1942-02-02,Director
Casey,,Robinson,Kings Row,1942-02-02,Screenwriter
Hal,B.,Wallis,Kings Row,1942-02-02,Producer
Ann,,Sheridan,Kings Row,1942-02-02,Actor
Robert,,Cummings,Kings Row,1942-02-02,Actor
Ronald,,Reagan,Kings Row,1942-02-02,Actor
Betty,,Field,Kings Row,1942-02-02,Actor
Charles,,Coburn,Kings Row,1942-02-02,Actor
Claude,,Rains,Kings Row,1942-02-02,Actor
Judith,,Anderson,Kings Row,1942-02-02,Actor
Maria,,Ouspenskaya,Kings Row,1942-02-02,Actor
James,Wong,Howe,Kings Row,1942-02-02,Cinematographer
Erich,Wolfgang,Korngold,Kings Row,1942-02-02,Composer
Orson,,Welles,The Magnificent Ambersons,1942-07-10,Director
Joseph,,Cotten,The Magnificent Ambersons,1942-07-10,Actor
Dolores,,Costello,The Magnificent Ambersons,1942-07-10,Actor
Anne,,Baxter,The Magnificent Ambersons,1942-07-10,Actor
Tim,,Holt,The Magnificent Ambersons,1942-07-10,Actor
Agnes,,Moorehead,The Magnificent Ambersons,1942-07-10,Actor
Ray,,Collins,The Magnificent Ambersons,1942-07-10,Actor
Erskine,,Sanford,The Magnificent Ambersons,1942-07-10,Actor
Richard,,Bennett,The Magnificent Ambersons,1942-07-10,Actor
Stanley,,Cortez,The Magnificent Ambersons,1942-07-10,Cinematographer
Main,,Page,The Magnificent Ambersons,1942-07-10,Composer
Irving,,Pichel,The Pied Piper,1942-08-21,Director
Nunnally,,Johnson,The Pied Piper,1942-08-21,Screenwriter
Monty,,Woolley,The Pied Piper,1942-08-21,Actor
Anne,,Baxter,The Pied Piper,1942-08-21,Actor
Roddy,,McDowall,The Pied Piper,1942-08-21,Actor
Edward,,Cronjager,The Pied Piper,1942-08-21,Cinematographer
Alfred,,Newman,The Pied Piper,1942-08-21,Composer
Sam,,Wood,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Director
Jo,,Swerling,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Screenwriter
Herman,J.,Mankiewicz,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Screenwriter
Samuel,,Goldwyn,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Producer
William,Cameron,Menzies,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Producer
Gary,,Cooper,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Actor
Teresa,,Wright,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Actor
Babe,,Ruth,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Actor
Walter,,Brennan,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Actor
Rudolph,,Mat?,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Cinematographer
Leigh,,Harline,The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Composer
Mervyn,,LeRoy,Random Harvest,1942-12-17,Director
Arthur,,Wimperis,Random Harvest,1942-12-17,Screenwriter
George,,Froeschel,Random Harvest,1942-12-17,Screenwriter
Claudine,,West,Random Harvest,1942-12-17,Screenwriter
Sidney,,Franklin,Random Harvest,1942-12-17,Producer
Ronald,,Colman,Random Harvest,1942-12-17,Actor
Greer,,Garson,Random Harvest,1942-12-17,Actor
Philip,,Dorn,Random Harvest,1942-12-17,Actor
Susan,,Peters,Random Harvest,1942-12-17,Actor
Joseph,,Ruttenberg,Random Harvest,1942-12-17,Cinematographer
Herbert,,Stothart,Random Harvest,1942-12-17,Composer
George,,Stevens,The Talk of the Town,1942-08-20,Director
Irwin,,Shaw,The Talk of the Town,1942-08-20,Screenwriter
Sidney,,Buchman,The Talk of the Town,1942-08-20,Screenwriter
Dale,Van,Every,The Talk of the Town,1942-08-20,Screenwriter
Fred,,Guiol,The Talk of the Town,1942-08-20,Producer
Cary,,Grant,The Talk of the Town,1942-08-20,Actor
Jean,,Arthur,The Talk of the Town,1942-08-20,Actor
Ronald,,Colman,The Talk of the Town,1942-08-20,Actor
Ted,,Tetzlaff,The Talk of the Town,1942-08-20,Cinematographer
Friedrich,,Hollaender,The Talk of the Town,1942-08-20,Composer
John,,Farrow,Wake Island,1942-09-01,Director
W.,R.,Burnett,Wake Island,1942-09-01,Writter
Frank,,Butler,Wake Island,1942-09-01,Writter
Joseph,,Sistrom,Wake Island,1942-09-01,Producer
Brian,,Donlevy,Wake Island,1942-09-01,Actor
Macdonald,,Carey,Wake Island,1942-09-01,Actor
Robert,,Preston,Wake Island,1942-09-01,Actor
Albert,,Dekker,Wake Island,1942-09-01,Actor
William,,Bendix,Wake Island,1942-09-01,Actor
Walter,,Abel,Wake Island,1942-09-01,Actor
William,C.,Mellor,Wake Island,1942-09-01,Cinematographer
Theodor,,Sparkuhl,Wake Island,1942-09-01,Cinematographer
David,,Buttolph,Wake Island,1942-09-01,Composer
Michael,,Curtiz,Yankee Doodle Dandy (film),1942-05-29,Director
Robert,,Buckner,Yankee Doodle Dandy (film),1942-05-29,Writter
Edmund,,Joseph,Yankee Doodle Dandy (film),1942-05-29,Writter
Hal,B.,Wallis,Yankee Doodle Dandy (film),1942-05-29,Producer
Jack,L.,Warner,Yankee Doodle Dandy (film),1942-05-29,Producer
James,,Cagney,Yankee Doodle Dandy (film),1942-05-29,Actor
Joan,,Leslie,Yankee Doodle Dandy (film),1942-05-29,Actor
Walter,,Huston,Yankee Doodle Dandy (film),1942-05-29,Actor
Richard,,Whorf,Yankee Doodle Dandy (film),1942-05-29,Actor
James,Wong,Howe,Yankee Doodle Dandy (film),1942-05-29,Cinematographer
George,M.,Cohan,Yankee Doodle Dandy (film),1942-05-29,Composer
Ray,,Heindorf,Yankee Doodle Dandy (film),1942-05-29,Composer
Heinz,,Roemheld,Yankee Doodle Dandy (film),1942-05-29,Composer
Irving,,Rapper,"Now, Voyager",1942-10-22,Director
Casey,,Robinson,"Now, Voyager",1942-10-22,Screenwriter
Hal,B.,Wallis,"Now, Voyager",1942-10-22,Producer
Bette,,Davis,"Now, Voyager",1942-10-22,Actor
Paul,,Henreid,"Now, Voyager",1942-10-22,Actor
Claude,,Rains,"Now, Voyager",1942-10-22,Actor
Gladys,,Cooper,"Now, Voyager",1942-10-22,Actor
Sol,,Polito,"Now, Voyager",1942-10-22,Cinematographer
Max,,Steiner,"Now, Voyager",1942-10-22,Composer
George,,Stevens,Woman of the Year,1942-02-19,Director
Ring,Lardner,Jr.,Woman of the Year,1942-02-19,Screenwriter
Michael,,Kanin,Woman of the Year,1942-02-19,Screenwriter
Joseph,L.,Mankiewicz,Woman of the Year,1942-02-19,Producer
Spencer,,Tracy,Woman of the Year,1942-02-19,Actor
Katharine,,Hepburn,Woman of the Year,1942-02-19,Actor
Fay,,Bainter,Woman of the Year,1942-02-19,Actor
Reginald,,Owen,Woman of the Year,1942-02-19,Actor
Joseph,,Ruttenberg,Woman of the Year,1942-02-19,Cinematographer
Franz,,Waxman,Woman of the Year,1942-02-19,Composer
Alexander,,Hall,My Sister Eileen,1942-09-24,Director
Joseph,,Fields,My Sister Eileen,1942-09-24,Screenwriter
Jerome,,Chodorov,My Sister Eileen,1942-09-24,Screenwriter
Max,,Gordon,My Sister Eileen,1942-09-24,Producer
Rosalind,,Russell,My Sister Eileen,1942-09-24,Actor
Brian,,Aherne,My Sister Eileen,1942-09-24,Actor
Janet,,Blair,My Sister Eileen,1942-09-24,Actor
George,,Tobias,My Sister Eileen,1942-09-24,Actor
Allyn,,Joslyn,My Sister Eileen,1942-09-24,Actor
Grant,,Mitchell,My Sister Eileen,1942-09-24,Actor
Gordon,,Jones,My Sister Eileen,1942-09-24,Actor
The,Three,Stooges,My Sister Eileen,1942-09-24,Actor
Joseph,,Walker,My Sister Eileen,1942-09-24,Cinematographer
Sidney,,Cutner,My Sister Eileen,1942-09-24,Composer
Mervyn,,LeRoy,Johnny Eager,1941-12-09,Director
John,Lee,Mahin,Johnny Eager,1941-12-09,Screenwriter
James,Edward,Grant,Johnny Eager,1941-12-09,Screenwriter
John,W.,Considine,Johnny Eager,1941-12-09,Producer
Robert,,Taylor,Johnny Eager,1941-12-09,Actor
Lana,,Turner,Johnny Eager,1941-12-09,Actor
Edward,,Arnold,Johnny Eager,1941-12-09,Actor
Van,,Heflin,Johnny Eager,1941-12-09,Actor
Harold,,Rosson,Johnny Eager,1941-12-09,Cinematographer
Bronis?aw,,Kaper,Johnny Eager,1941-12-09,Composer
Victor,,Fleming,Tortilla Flat,1942-05-21,Director
John,Lee,Mahin,Tortilla Flat,1942-05-21,Screenwriter
Benjamin,,Glazer,Tortilla Flat,1942-05-21,Screenwriter
Sam,,Zimbalist,Tortilla Flat,1942-05-21,Producer
Spencer,,Tracy,Tortilla Flat,1942-05-21,Actor
Hedy,,Lamarr,Tortilla Flat,1942-05-21,Actor
John,,Garfield,Tortilla Flat,1942-05-21,Actor
Frank,,Morgan,Tortilla Flat,1942-05-21,Actor
Akim,,Tamiroff,Tortilla Flat,1942-05-21,Actor
Karl,,Freund,Tortilla Flat,1942-05-21,Cinematographer
Frank,,Loesser,Tortilla Flat,1942-05-21,Composer
Franz,,Waxman,Tortilla Flat,1942-05-21,Composer
Michael,,Powell,One of Our Aircraft Is Missing,1942-06-27,Director
Emeric,,Pressburger,One of Our Aircraft Is Missing,1942-06-27,Director
Stanley,,Haynes,One of Our Aircraft Is Missing,1942-06-27,Producer
Godfrey,,Tearle,One of Our Aircraft Is Missing,1942-06-27,Actor
Eric,,Portman,One of Our Aircraft Is Missing,1942-06-27,Actor
Hugh,,Williams,One of Our Aircraft Is Missing,1942-06-27,Actor
Bernard,,Miles,One of Our Aircraft Is Missing,1942-06-27,Actor
Hugh,,Burden,One of Our Aircraft Is Missing,1942-06-27,Actor
Emrys,,Jones,One of Our Aircraft Is Missing,1942-06-27,Actor
Googie,,Withers,One of Our Aircraft Is Missing,1942-06-27,Actor
Pamela,,Brown,One of Our Aircraft Is Missing,1942-06-27,Actor
Ronald,,Neame,One of Our Aircraft Is Missing,1942-06-27,Cinematographer
David,,Butler,Road to Morocco,1942-11-10,Director
Frank,,Butler,Road to Morocco,1942-11-10,Writter
Don,,Hartman,Road to Morocco,1942-11-10,Writter
Paul,,Jones,Road to Morocco,1942-11-10,Producer
Bing,,Crosby,Road to Morocco,1942-11-10,Actor
Bob,,Hope,Road to Morocco,1942-11-10,Actor
Dorothy,,Lamour,Road to Morocco,1942-11-10,Actor
William,C.,Mellor,Road to Morocco,1942-11-10,Cinematographer
Victor,,Young,Road to Morocco,1942-11-10,Composer
Johnny,,Burke,Road to Morocco,1942-11-10,Composer
Jimmy,Van,Heusen,Road to Morocco,1942-11-10,Composer
Harold,S.,Bucquet,The War Against Mrs. Hadley,1942-09-27,Director
George,,Oppenheimer,The War Against Mrs. Hadley,1942-09-27,Writter
Irving,,Asher,The War Against Mrs. Hadley,1942-09-27,Producer
Fay,,Bainter,The War Against Mrs. Hadley,1942-09-27,Actor
Edward,,Arnold,The War Against Mrs. Hadley,1942-09-27,Actor
Karl,,Freund,The War Against Mrs. Hadley,1942-09-27,Cinematographer
David,,Snell,The War Against Mrs. Hadley,1942-09-27,Composer
Mark,,Sandrich,Holiday Inn,1942-08-04,Director
Claude,,Binyon,Holiday Inn,1942-08-04,Screenwriter
Elmer,,Rice,Holiday Inn,1942-08-04,Screenwriter
Bing,,Crosby,Holiday Inn,1942-08-04,Actor
Fred,,Astaire,Holiday Inn,1942-08-04,Actor
Marjorie,,Reynolds,Holiday Inn,1942-08-04,Actor
Virginia,,Dale,Holiday Inn,1942-08-04,Actor
Walter,,Abel,Holiday Inn,1942-08-04,Actor
David,,Abel,Holiday Inn,1942-08-04,Cinematographer
Irving,,Berlin,Holiday Inn,1942-08-04,Composer
John,,Ford,The Battle of Midway,1942-09-14,Director
Dudley,,Nichols,The Battle of Midway,1942-09-14,Writter
James,Kevin,McGuinness,The Battle of Midway,1942-09-14,Writter
Jack,,MacKenzie,The Battle of Midway,1942-09-14,Cinematographer
Kenneth,M.,Pier,The Battle of Midway,1942-09-14,Cinematographer
Alfred,,Newman,The Battle of Midway,1942-09-14,Composer
Ken,G.,Hall,Kokoda Front Line!,1942-09-18,Director
Damien,,Parer,Kokoda Front Line!,1942-09-18,Cinematographer
Ilya,,Kopalin,Moscow Strikes Back,1942-02-23,Director
Leonid,,Varlamov,Moscow Strikes Back,1942-02-23,Director
Russian,Central,Studio,Moscow Strikes Back,1942-02-23,Producer
Georgy,,Zhukov,Moscow Strikes Back,1942-02-23,Actor
Konstantin,,Rokossovsky,Moscow Strikes Back,1942-02-23,Actor
V.,,Smirnov,Moscow Strikes Back,1942-02-23,Composer
Frank,,Capra,Prelude to War,1942-05-27,Director
Anthony,,Veiller,Prelude to War,1942-05-27,Writter
Eric,,Knight,Prelude to War,1942-05-27,Writter
Robert,J.,Flaherty,Prelude to War,1942-05-27,Cinematographer
Hugo,,Friedhofer,Prelude to War,1942-05-27,Composer
Leigh,,Harline,Prelude to War,1942-05-27,Composer
Arthur,,Lange,Prelude to War,1942-05-27,Composer
Cyril,J.,Mockridge,Prelude to War,1942-05-27,Composer
Alfred,,Newman,Prelude to War,1942-05-27,Composer
David,,Raksin,Prelude to War,1942-05-27,Composer
United,States,Office,"Africa, Prelude to Victory",1942-12-04,Producer
Slavko,,Vorkapich,Conquer by the Clock,1942-10-27,Director
Frederic,Ullman,Jr.,Conquer by the Clock,1942-10-27,Producer
Larry,,O'Reilly,Conquer by the Clock,1942-10-27,Cinematographer
Ern?,,Rap?e,Conquer by the Clock,1942-10-27,Composer
Bill,,Justice,The Grain That Built a Hemisphere,1943-01-04,Director
Office,of,the,The Grain That Built a Hemisphere,1943-01-04,Producer
The,Walt,Disney,The Grain That Built a Hemisphere,1943-01-04,Producer
Edward,H.,Plumb,The Grain That Built a Hemisphere,1943-01-04,Composer
Stuart,,Legg,Inside Fighting China,1941-01-01,Director
United,States,Army,It's Everybody's War,1942-11-06,Producer
Humphrey,,Jennings,Listen to Britain,1942-01-01,Director
Stewart,,McAllister,Listen to Britain,1942-01-01,Director
Humphrey,JenningsStewart,McAllister,Listen to Britain,1942-01-01,Writter
Ian,,Dalrymple,Listen to Britain,1942-01-01,Producer
Chesney,,Allen,Listen to Britain,1942-01-01,Actor
Bud,,Flanagan,Listen to Britain,1942-01-01,Actor
Myra,,Hess,Listen to Britain,1942-01-01,Actor
H.E.,,Fowle,Listen to Britain,1942-01-01,Cinematographer
Wilfred,,Jackson,The New Spirit,1942-01-23,Director
Ben,,Sharpsteen,The New Spirit,1942-01-23,Director
Walt,,Disney,The New Spirit,1942-01-23,Producer
Clarence,,Nash,The New Spirit,1942-01-23,Actor
Oliver,,Wallace,The New Spirit,1942-01-23,Composer
Pine-Thomas,,Productions,The Price of Victory,1942-12-03,Director
Maxwell,,Shane,The Price of Victory,1942-12-03,Writter
Paramount,,Pictures,The Price of Victory,1942-12-03,Producer
United,States,Office,The Price of Victory,1942-12-03,Producer
Daniele,,Amfitheatrof,The Price of Victory,1942-12-03,Composer
Jean,,Negulesco,A Ship Is Born,1942-10-10,Director
Owen,,Crump,A Ship Is Born,1942-10-10,Writter
Gordon,,Hollingshead,A Ship Is Born,1942-10-10,Producer
Knox,,Manning,A Ship Is Born,1942-10-10,Actor
William,,Lava,A Ship Is Born,1942-10-10,Composer
John,,Huston,Winning Your Wings,1942-05-28,Director
Owen,,Crump,Winning Your Wings,1942-05-28,Director
James,,Stewart,Winning Your Wings,1942-05-28,Actor
Alfred,,Newman,Winning Your Wings,1942-05-28,Composer
Jerry,,Fairbanks,Speaking of Animals and Their Families,1942-06-04,Director
Walter,,Anthony,Speaking of Animals and Their Families,1942-06-04,Writter
Sara,,Berner,Speaking of Animals and Their Families,1942-06-04,Actor
Mel,,Blanc,Speaking of Animals and Their Families,1942-06-04,Actor
Pinto,,Colvig,Speaking of Animals and Their Families,1942-06-04,Actor
Bernice,,Hansen,Speaking of Animals and Their Families,1942-06-04,Actor
Kent,,Rogers,Speaking of Animals and Their Families,1942-06-04,Actor
Edward,,Paul,Speaking of Animals and Their Families,1942-06-04,Composer
Russ,,Shields,Desert Wonderland,1942-01-01,Director
Jack,,Kuhne,Desert Wonderland,1942-01-01,Director
Herbert,,Polesie,Marines in the Making,1942-12-26,Director
Pete,,Smith,Marines in the Making,1942-12-26,Producer
Dick,,Hanley,Marines in the Making,1942-12-26,Actor
Richard,,Fryer,Marines in the Making,1942-12-26,Cinematographer
Max,,Terr,Marines in the Making,1942-12-26,Composer
Jean,,Negulesco,United States Marine Band,1942-11-14,Director
Gordon,,Hollingshead,United States Marine Band,1942-11-14,Producer
United,States,Marine,United States Marine Band,1942-11-14,Actor
Ted,,McCord,United States Marine Band,1942-11-14,Cinematographer
Lewis,,Seiler,Beyond the Line of Duty,1942-11-07,Director
Edwin,,Gilbert,Beyond the Line of Duty,1942-11-07,Writter
Gordon,,Hollingshead,Beyond the Line of Duty,1942-11-07,Producer
Arthur,L.,Todd,Beyond the Line of Duty,1942-11-07,Cinematographer
Howard,,Jackson,Beyond the Line of Duty,1942-11-07,Composer
William,,Lava,Beyond the Line of Duty,1942-11-07,Composer
Joseph,M.,Newman,Don't Talk,1942-02-28,Director
Alan,,Friedman,Don't Talk,1942-02-28,Writter
Don,,Douglas,Don't Talk,1942-02-28,Actor
Gloria,,Holden,Don't Talk,1942-02-28,Actor
Barry,,Nelson,Don't Talk,1942-02-28,Actor
Harry,,Worth,Don't Talk,1942-02-28,Actor
Jackson,,Rose,Don't Talk,1942-02-28,Cinematographer
American,Society,of,Don't Talk,1942-02-28,Cinematographer
Slavko,,Vorkapich,Private Smith of the U.S.A.,1942-10-02,Director
Harry,W.,Smith,Private Smith of the U.S.A.,1942-10-02,Cinematographer
Jack,,Kinney,Der Fuehrer's Face,1943-01-01,Director
Walt,,Disney,Der Fuehrer's Face,1943-01-01,Producer
Clarence,,Nash,Der Fuehrer's Face,1943-01-01,Actor
Cliff,,Edwards,Der Fuehrer's Face,1943-01-01,Actor
Charles,,Judels,Der Fuehrer's Face,1943-01-01,Actor
Oliver,,Wallace,Der Fuehrer's Face,1943-01-01,Composer
Tex,,Avery,Blitz Wolf,1942-08-22,Director
Fred,,Quimby,Blitz Wolf,1942-08-22,Producer
Bill,,Thompson,Blitz Wolf,1942-08-22,Actor
Pinto,,Colvig,Blitz Wolf,1942-08-22,Actor
Frank,,Graham,Blitz Wolf,1942-08-22,Actor
Sara,,Berner,Blitz Wolf,1942-08-22,Actor
Kent,,Rogers,Blitz Wolf,1942-08-22,Actor
Scott,,Bradley,Blitz Wolf,1942-08-22,Composer
Friz,,Freleng,Pigs in a Polka,1943-02-06,Director
Leon,,Schlesinger,Pigs in a Polka,1943-02-06,Producer
Mel,,Blanc,Pigs in a Polka,1943-02-06,Actor
Sara,,Berner,Pigs in a Polka,1943-02-06,Actor
Carl,W.,Stalling,Pigs in a Polka,1943-02-06,Composer
George,,Pal,Tulips Shall Grow,1942-01-26,Director
Eddison,von,Ottenfeld,Tulips Shall Grow,1942-01-26,Composer
John,,Rawlins,Arabian Nights,1942-12-25,Director
Michael,,Hogan,Arabian Nights,1942-12-25,Writter
True,,Boardman,Arabian Nights,1942-12-25,Writter
Walter,,Wanger,Arabian Nights,1942-12-25,Producer
Jon,,Hall,Arabian Nights,1942-12-25,Actor
Maria,,Montez,Arabian Nights,1942-12-25,Actor
Sabu,,Unknown,Arabian Nights,1942-12-25,Actor
Leif,,Erickson,Arabian Nights,1942-12-25,Actor
Billy,,Gilbert,Arabian Nights,1942-12-25,Actor
Edgar,,Barrier,Arabian Nights,1942-12-25,Actor
Shemp,,Howard,Arabian Nights,1942-12-25,Actor
Thomas,,Gomez,Arabian Nights,1942-12-25,Actor
Turhan,,Bey,Arabian Nights,1942-12-25,Actor
Elyse,,Knox,Arabian Nights,1942-12-25,Actor
Acquanetta,,Unknown,Arabian Nights,1942-12-25,Actor
Carmen,,D'Antonio,Arabian Nights,1942-12-25,Actor
W.,Howard,Greene,Arabian Nights,1942-12-25,Cinematographer
Milton,,Krasner,Arabian Nights,1942-12-25,Cinematographer
Frank,,Skinner,Arabian Nights,1942-12-25,Composer
James,,Algar,Bambi,1942-08-09,Director
Bill,,Roberts,Bambi,1942-08-09,Director
Norman,,Wright,Bambi,1942-08-09,Director
Sam,,Armstrong,Bambi,1942-08-09,Director
Paul,,Satterfield,Bambi,1942-08-09,Director
Graham,,Heid,Bambi,1942-08-09,Director
Walt,,Disney,Bambi,1942-08-09,Producer
Frank,,Churchill,Bambi,1942-08-09,Composer
Edward,H.,Plumb,Bambi,1942-08-09,Composer
Henry,,King,The Black Swan,1942-12-04,Director
Ben,,Hecht,The Black Swan,1942-12-04,Screenwriter
Seton,I.,Miller,The Black Swan,1942-12-04,Screenwriter
Robert,,Bassler,The Black Swan,1942-12-04,Producer
Tyrone,,Power,The Black Swan,1942-12-04,Actor
Maureen,,O'Hara,The Black Swan,1942-12-04,Actor
Leon,,Shamroy,The Black Swan,1942-12-04,Cinematographer
Alfred,,Newman,The Black Swan,1942-12-04,Composer
Gregory,,Ratoff,The Corsican Brothers,1941-11-28,Director
George,,Bruce,The Corsican Brothers,1941-11-28,Writter
Howard,,Estabrook,The Corsican Brothers,1941-11-28,Writter
Edward,,Small,The Corsican Brothers,1941-11-28,Producer
Douglas,Fairbanks,Jr.,The Corsican Brothers,1941-11-28,Actor
Ruth,,Warrick,The Corsican Brothers,1941-11-28,Actor
Akim,,Tamiroff,The Corsican Brothers,1941-11-28,Actor
Harry,,Stradling,The Corsican Brothers,1941-11-28,Cinematographer
Dimitri,,Tiomkin,The Corsican Brothers,1941-11-28,Composer
David,,Miller,Flying Tigers,1942-10-08,Director
Kenneth,GametBarry,Trivers,Flying Tigers,1942-10-08,Writter
Edmund,,Grainger,Flying Tigers,1942-10-08,Producer
John,,Wayne,Flying Tigers,1942-10-08,Actor
John,,Carroll,Flying Tigers,1942-10-08,Actor
Anna,,Lee,Flying Tigers,1942-10-08,Actor
Jack,,Marta,Flying Tigers,1942-10-08,Cinematographer
Victor,,Young,Flying Tigers,1942-10-08,Composer
Charlie,,Chaplin,The Gold Rush,1925-06-26,Director
Georgia,,Hale,The Gold Rush,1925-06-26,Actor
Mack,,Swain,The Gold Rush,1925-06-26,Actor
Tom,,Murray,The Gold Rush,1925-06-26,Actor
Malcolm,,Waite,The Gold Rush,1925-06-26,Actor
Roland,,Totheroh,The Gold Rush,1925-06-26,Cinematographer
Carli,,Elinor,The Gold Rush,1925-06-26,Composer
Max,,Terr,The Gold Rush,1925-06-26,Composer
James,L.,Fields,The Gold Rush,1925-06-26,Composer
Ren?,,Clair,I Married a Witch,1942-10-30,Director
Robert,,Pirosh,I Married a Witch,1942-10-30,Screenwriter
Marc,,Connelly,I Married a Witch,1942-10-30,Screenwriter
Fredric,,March,I Married a Witch,1942-10-30,Actor
Veronica,,Lake,I Married a Witch,1942-10-30,Actor
Robert,,Benchley,I Married a Witch,1942-10-30,Actor
Susan,,Hayward,I Married a Witch,1942-10-30,Actor
Cecil,,Kellaway,I Married a Witch,1942-10-30,Actor
Ted,,Tetzlaff,I Married a Witch,1942-10-30,Cinematographer
Roy,,Webb,I Married a Witch,1942-10-30,Composer
Robert,,Stevenson,Joan of Paris,1942-02-20,Director
James,,Anderson,Joan of Paris,1942-02-20,Director
Jacques,,Th?ry,Joan of Paris,1942-02-20,Writter
Charles,,Bennett,Joan of Paris,1942-02-20,Writter
David,,Hempstead,Joan of Paris,1942-02-20,Producer
Mich?le,,Morgan,Joan of Paris,1942-02-20,Actor
Paul,,Henreid,Joan of Paris,1942-02-20,Actor
Thomas,,Mitchell,Joan of Paris,1942-02-20,Actor
Laird,,Cregar,Joan of Paris,1942-02-20,Actor
Russell,,Metty,Joan of Paris,1942-02-20,Cinematographer
Roy,,Webb,Joan of Paris,1942-02-20,Composer
Zoltan,,Korda,Jungle Book,1942-04-03,Director
Laurence,,Stallings,Jungle Book,1942-04-03,Screenwriter
Alexander,,Korda,Jungle Book,1942-04-03,Producer
Sabu,,Unknown,Jungle Book,1942-04-03,Actor
Joseph,,Calleia,Jungle Book,1942-04-03,Actor
John,,Qualen,Jungle Book,1942-04-03,Actor
Frank,,Puglia,Jungle Book,1942-04-03,Actor
Rosemary,,DeCamp,Jungle Book,1942-04-03,Actor
Patricia,,O'Rourke,Jungle Book,1942-04-03,Actor
Ralph,,Byrd,Jungle Book,1942-04-03,Actor
Lee,,Garmes,Jungle Book,1942-04-03,Cinematographer
W.,Howard,Greene,Jungle Book,1942-04-03,Cinematographer
Mikl?s,,R?zsa,Jungle Book,1942-04-03,Composer
William,K.,Howard,Klondike Fury,1942-01-01,Director
Henry,,Blankfort,Klondike Fury,1942-01-01,Writter
King,Brothers,Productions,Klondike Fury,1942-01-01,Producer
Edmund,,Lowe,Klondike Fury,1942-01-01,Actor
L.,William,O'Connell,Klondike Fury,1942-01-01,Cinematographer
Josef,von,Sternberg,The Shanghai Gesture,1941-12-25,Director
Jules,,Furthman,The Shanghai Gesture,1941-12-25,Screenwriter
Arnold,,Pressburger,The Shanghai Gesture,1941-12-25,Producer
Gene,,Tierney,The Shanghai Gesture,1941-12-25,Actor
Walter,,Huston,The Shanghai Gesture,1941-12-25,Actor
Victor,,Mature,The Shanghai Gesture,1941-12-25,Actor
